date,dist_m,mov_s,note
2025-04-16,7283.12,2189,
2025-04-19,7184.26,2275,
2025-04-20,25003.7,7544,LONG25k
2025-04-23,6100.73,1861,
2025-04-24,14011.1,4368,
2025-04-25,6155.05,2165,
2025-04-25,8015.6,2286,
2025-04-26,16020.6,4991,
2025-04-28,15027.3,4261,
2025-04-29,8028.12,2175,
2025-04-30,6053.93,1961,
2025-05-04,11010.6,3483,
2025-05-06,7035.05,1935,
2025-05-07,14015.4,4061,
2025-05-08,8028.05,2724,
2025-05-10,11011,3785,
2025-05-10,1248.25,422,
2025-05-11,6515.67,1890,
2025-05-13,11008.9,3402,
2025-05-16,6046.86,1738,
2025-05-18,1010.58,331,
2025-05-18,21223.6,5349,HM_PB_129
2025-05-20,5011.15,1646,
2025-05-21,5677.88,1831,
2025-05-22,9511.52,3078,
2025-05-27,7535.96,2181,
2025-05-29,7297.23,2295,
2025-05-30,7203.12,2115,
2025-05-31,9514.61,2932,
2025-06-01,8537.89,2673,
2025-06-02,5563.73,1624,
2025-06-03,8007.52,2425,
2025-06-05,5694.8,1818,
2025-06-07,6654.8,2303,
2025-06-08,14151.1,4891,
2025-06-10,10535.3,3024,
2025-06-11,12017.6,3553,
2025-06-15,21006.7,6506,RACE_half_DK
2025-06-16,5410.39,1603,
2025-06-17,12025.4,3522,
2025-06-20,7743.65,2239,
2025-06-24,10322.7,3027,
2025-06-25,5769.72,1511,
2025-06-26,10022.5,3023,
2025-06-28,9010.09,3695,
2025-07-01,5526.47,1700,
2025-07-02,12371.8,3500,
2025-07-04,7165.05,2223,
2025-07-05,13012.1,3927,
2025-07-06,3008.04,917,
2025-07-08,12005.6,3632,
2025-07-15,5009.32,1853,
2025-07-23,6031.06,1994,
2025-07-30,5033.62,1512,
2025-08-02,60839.3,27952,BACKYARD_Macyard2025
2025-08-02,9989.4,4818,BACKYARD_pt2
2025-08-06,5817.17,1719,
2025-08-07,5786.4,1718,
2025-08-09,8680.63,2967,
2025-08-12,5750.73,1733,
2025-08-14,7522.15,2365,
2025-08-15,4230.96,1252,
2025-08-18,5830.15,1732,
2025-08-19,5021.27,1337,
2025-08-23,7509.08,2180,
2025-08-28,6010.61,1835,
2025-08-29,6005.63,1759,
2025-08-30,6006.14,1736,
2025-09-01,6010.06,1787,
2025-09-06,18277,14786,HIKE_EXCLUDE
2025-09-07,10014.4,3465,
2025-09-09,13006.8,4077,
2025-09-10,5537.48,1700,
2025-09-13,9506.38,3013,
2025-09-16,12003.7,3705,
2025-09-18,7031.22,2929,
2025-09-20,15765.6,4739,
2025-09-23,13172.2,4013,
2025-09-25,6006.89,1893,
2025-09-29,5414.17,1567,
2025-09-30,5508.14,1569,
2025-10-01,3235.77,1017,
2025-10-01,5017.86,1261,
2025-10-06,5552.11,1651,
2025-10-07,10022.5,3076,
2025-10-12,22032.2,7085,
2025-10-14,8233.27,2534,
2025-10-15,5817.68,1519,
2025-10-18,15017,5276,
2025-10-21,5608.93,1661,
2025-10-22,7519.56,2147,
2025-10-26,15030,4742,
2025-10-28,10157.1,3097,
2025-10-29,6031.69,1872,
2025-11-02,15261.8,4462,
2025-11-04,10009.2,3059,
2025-11-07,10020.4,3071,
2025-11-08,3481.02,1011,
2025-11-09,7508.35,2263,
